ResponseId,Init,Title,id,sameanswer,answer,clean_answer,final_answer,review_notes,fullquestion,abbr,Group,clean_group,qnum,ES,survey_order,qa_note,rev1init,rev2init,revorder,keep,ctw_notes
R_Uszlh1FFsBKprBn,AIS,An invasive ant reduces diversity but does not disrupt a key ecosystem function in an African savanna,Q25.1_8_2,FALSE,,,,,"Q12: Which Ecosystem Services were considered?  - Write in the response variable used to approx. ES, or EF proxy - Formation, protection, and decontamination of soils and sediments [e.g deco... - Formation, protection, and decontamination of soils and sediments [e.g decomposition, erosion control] - DO NOT USE Response 2",Response,,,Q12,SoilProtect,74,,AK,AIS,2,0,
R_1jIdgURwZ6A6iOu,AK,An invasive ant reduces diversity but does not disrupt a key ecosystem function in an African savanna,Q25.1_10_1,FALSE,arthropod diversity and abundance,arthropod diversity and abundance,,,"Q12: Which Ecosystem Services were considered?  - Write in the response variable used to approx. ES, or EF proxy - Regulation of detrimental organisms and biological processes [e.g. pests, p... - Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals] - Response 1: Separate by commas",Response,,,Q12,PestPath,77,,AK,AIS,1,0,
R_Uszlh1FFsBKprBn,AIS,An invasive ant reduces diversity but does not disrupt a key ecosystem function in an African savanna,Q25.1_10_1,FALSE,dung decomposition,dung decomposition,,,"Q12: Which Ecosystem Services were considered?  - Write in the response variable used to approx. ES, or EF proxy - Regulation of detrimental organisms and biological processes [e.g. pests, p... - Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals] - Response 1: Separate by commas",Response,,,Q12,PestPath,77,,AK,AIS,2,0,
R_1jIdgURwZ6A6iOu,AK,An invasive ant reduces diversity but does not disrupt a key ecosystem function in an African savanna,Q25.1_10_2,FALSE,dung-decomposing beetle diversity and abundance,dung-decomposing beetle diversity and abundance,dung-decomposing beetle diversity and abundance,,"Q12: Which Ecosystem Services were considered?  - Write in the response variable used to approx. ES, or EF proxy - Regulation of detrimental organisms and biological processes [e.g. pests, p... - Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals] - DO NOT USE Response 2",Response,,,Q12,PestPath,78,,AK,AIS,1,1,
R_Uszlh1FFsBKprBn,AIS,An invasive ant reduces diversity but does not disrupt a key ecosystem function in an African savanna,Q25.1_10_2,FALSE,,,,,"Q12: Which Ecosystem Services were considered?  - Write in the response variable used to approx. ES, or EF proxy - Regulation of detrimental organisms and biological processes [e.g. pests, p... - Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals] - DO NOT USE Response 2",Response,,,Q12,PestPath,78,,AK,AIS,2,0,
R_1jIdgURwZ6A6iOu,AK,An invasive ant reduces diversity but does not disrupt a key ecosystem function in an African savanna,Q25.4_8,FALSE,Other,Other,Other,,"Q12: Which Ecosystem Services were considered?  - Biotic Driver - Formation, protection, and decontamination of soils and sediments [e.g decomposition, erosion control]",Driver,Bio,Bio,Q12,SoilProtect,130,,AK,AIS,1,1,
R_Uszlh1FFsBKprBn,AIS,An invasive ant reduces diversity but does not disrupt a key ecosystem function in an African savanna,Q25.4_8,FALSE,,,,,"Q12: Which Ecosystem Services were considered?  - Biotic Driver - Formation, protection, and decontamination of soils and sediments [e.g decomposition, erosion control]",Driver,Bio,,Q12,SoilProtect,130,,AK,AIS,2,0,
R_1jIdgURwZ6A6iOu,AK,An invasive ant reduces diversity but does not disrupt a key ecosystem function in an African savanna,Q25.4_10,FALSE,Other,Other,Other,,"Q12: Which Ecosystem Services were considered?  - Biotic Driver - Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]",Driver,Bio,Bio,Q12,PestPath,132,,AK,AIS,1,1,
R_Uszlh1FFsBKprBn,AIS,An invasive ant reduces diversity but does not disrupt a key ecosystem function in an African savanna,Q25.4_10,FALSE,Service Provider (Q17),Service Provider (Q17),Service Provider (Q17),,"Q12: Which Ecosystem Services were considered?  - Biotic Driver - Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]",Driver,Bio,Bio,Q12,PestPath,132,,AK,AIS,2,1,
R_1jIdgURwZ6A6iOu,AK,An invasive ant reduces diversity but does not disrupt a key ecosystem function in an African savanna,Q25.5_8,FALSE,EF,EF,EF,,"Q12: Which Ecosystem Services were considered?  - Paper reported Response 1 as: - Formation, protection, and decontamination of soils and sediments [e.g decomposition, erosion control]",Yclass,,,Q12,SoilProtect,146,,AK,AIS,1,1,
R_Uszlh1FFsBKprBn,AIS,An invasive ant reduces diversity but does not disrupt a key ecosystem function in an African savanna,Q25.5_8,FALSE,,,,,"Q12: Which Ecosystem Services were considered?  - Paper reported Response 1 as: - Formation, protection, and decontamination of soils and sediments [e.g decomposition, erosion control]",Yclass,,,Q12,SoilProtect,146,,AK,AIS,2,0,
R_1jIdgURwZ6A6iOu,AK,An invasive ant reduces diversity but does not disrupt a key ecosystem function in an African savanna,Q25.5_10,FALSE,EF,EF,,,"Q12: Which Ecosystem Services were considered?  - Paper reported Response 1 as: - Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]",Yclass,,,Q12,PestPath,148,,AK,AIS,1,0,
R_Uszlh1FFsBKprBn,AIS,An invasive ant reduces diversity but does not disrupt a key ecosystem function in an African savanna,Q25.5_10,FALSE,Proxy for ES,Proxy for ES,Proxy for ES,,"Q12: Which Ecosystem Services were considered?  - Paper reported Response 1 as: - Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]",Yclass,,,Q12,PestPath,148,,AK,AIS,2,1,
R_1jIdgURwZ6A6iOu,AK,An invasive ant reduces diversity but does not disrupt a key ecosystem function in an African savanna,Q25.8_8,FALSE,Mixed,Mixed,Mixed,,"Q12: Which Ecosystem Services were considered?  - Direction of Biotic Driver Relationship - Formation, protection, and decontamination of soils and sediments [e.g decomposition, erosion control]",EffectDirect,Bio,,Q12,SoilProtect,194,,AK,AIS,1,1,
R_Uszlh1FFsBKprBn,AIS,An invasive ant reduces diversity but does not disrupt a key ecosystem function in an African savanna,Q25.8_8,FALSE,,,,,"Q12: Which Ecosystem Services were considered?  - Direction of Biotic Driver Relationship - Formation, protection, and decontamination of soils and sediments [e.g decomposition, erosion control]",EffectDirect,Bio,,Q12,SoilProtect,194,,AK,AIS,2,0,
R_1jIdgURwZ6A6iOu,AK,An invasive ant reduces diversity but does not disrupt a key ecosystem function in an African savanna,Q25.8_10,FALSE,Mixed,Mixed,Mixed,,"Q12: Which Ecosystem Services were considered?  - Direction of Biotic Driver Relationship - Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]",EffectDirect,Bio,,Q12,PestPath,196,,AK,AIS,1,1,
R_Uszlh1FFsBKprBn,AIS,An invasive ant reduces diversity but does not disrupt a key ecosystem function in an African savanna,Q25.8_10,FALSE,0,0,,,"Q12: Which Ecosystem Services were considered?  - Direction of Biotic Driver Relationship - Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]",EffectDirect,Bio,,Q12,PestPath,196,,AK,AIS,2,0,
R_1jIdgURwZ6A6iOu,AK,An invasive ant reduces diversity but does not disrupt a key ecosystem function in an African savanna,Q26,FALSE,invasive species,invasive species,invasive species,,List Other Biotic Driver from Q12 (sep. with commas),OtherDriver,Bio,Bio,Q12,PestPath,205,Infilled ES from Driver where 'Other' specified,AK,AIS,1,1,
R_1jIdgURwZ6A6iOu,AK,An invasive ant reduces diversity but does not disrupt a key ecosystem function in an African savanna,Q26,FALSE,invasive species,invasive species,invasive species,,List Other Biotic Driver from Q12 (sep. with commas),OtherDriver,Bio,Bio,Q12,SoilProtect,205,Infilled ES from Driver where 'Other' specified,AK,AIS,1,1,
R_Uszlh1FFsBKprBn,AIS,An invasive ant reduces diversity but does not disrupt a key ecosystem function in an African savanna,Q26,FALSE,,,,,List Other Biotic Driver from Q12 (sep. with commas),OtherDriver,Bio,,Q12,,205,,AK,AIS,2,0,
R_1jIdgURwZ6A6iOu,AK,An invasive ant reduces diversity but does not disrupt a key ecosystem function in an African savanna,Q18,FALSE,Kremen Topic 2 : Community structure influencing function,Kremen Topic 2 : Community structure influencing function,"Kremen Topic 1 : ESPs,Kremen Topic 2 : Community structure influencing function",,Q13: Which of Kremen's Topics does this paper address?,KremenTopics,,,Q13,,206,,AK,AIS,1,1,
R_Uszlh1FFsBKprBn,AIS,An invasive ant reduces diversity but does not disrupt a key ecosystem function in an African savanna,Q18,FALSE,"Kremen Topic 1 : ESPs,Kremen Topic 3 : Environmental factors that influence provision (env. drivers, not including human drivers))","Kremen Topic 1 : ESPs,Kremen Topic 4 : Scale",,,Q13: Which of Kremen's Topics does this paper address?,KremenTopics,,,Q13,,206,Removed KT3 based on lack of environmental driver; appended KT 4:Scale (has multi time or spatial scale but KT 4 not checked),AK,AIS,2,0,
R_1jIdgURwZ6A6iOu,AK,An invasive ant reduces diversity but does not disrupt a key ecosystem function in an African savanna,Q19,FALSE,"Across species  [e.g. community structure, diversity]","Across species  [e.g. community structure, diversity]","Across species  [e.g. community structure, diversity]",,"Q14: If the study incorporates a 'Service Provider', which service provider(s) does it utilize?",ESP_type,,,Q14,,207,,AK,AIS,1,1,
R_Uszlh1FFsBKprBn,AIS,An invasive ant reduces diversity but does not disrupt a key ecosystem function in an African savanna,Q19,FALSE,"Single species  [e.g. ESPs, single species]","Single species  [e.g. ESPs, single species]",,,"Q14: If the study incorporates a 'Service Provider', which service provider(s) does it utilize?",ESP_type,,,Q14,,207,,AK,AIS,2,0,
R_3EEdwsrEF3Odhec,AK,Early eclosion of overwintering cotton bollworm moths from warming temperatures accentuates yield loss in wheat,Q6,FALSE,Experimental,Experimental,Experimental,,Q6: What methods were used? - Selected Choice,Methods,,,Q6,,26,,AK,AIS,1,1,
R_72hVNdE3uC9KDa9,AIS,Early eclosion of overwintering cotton bollworm moths from warming temperatures accentuates yield loss in wheat,Q6,FALSE,"Observational (Includes data observed in situ OR via remote sensing, if used directly)","Observational (Includes data observed in situ OR via remote sensing, if used directly)",,,Q6: What methods were used? - Selected Choice,Methods,,,Q6,,26,,AK,AIS,2,0,
R_3EEdwsrEF3Odhec,AK,Early eclosion of overwintering cotton bollworm moths from warming temperatures accentuates yield loss in wheat,Q25.1_12_1,FALSE,wheat biomass,wheat biomass,wheat biomass,,"Q12: Which Ecosystem Services were considered?  - Write in the response variable used to approx. ES, or EF proxy - Food and feed - Response 1: Separate by commas",Response,,,Q12,Food,81,,AK,AIS,1,1,
R_72hVNdE3uC9KDa9,AIS,Early eclosion of overwintering cotton bollworm moths from warming temperatures accentuates yield loss in wheat,Q25.1_12_1,FALSE,crop yield,crop yield,,,"Q12: Which Ecosystem Services were considered?  - Write in the response variable used to approx. ES, or EF proxy - Food and feed - Response 1: Separate by commas",Response,,,Q12,Food,81,,AK,AIS,2,0,
R_3EEdwsrEF3Odhec,AK,Early eclosion of overwintering cotton bollworm moths from warming temperatures accentuates yield loss in wheat,Q25.2_12,TRUE,Climate,Climate,Climate,,Q12: Which Ecosystem Services were considered?  - Environmental Driver - Food and feed,Driver,Env,Env,Q12,Food,102,,AK,AIS,1,1,
R_72hVNdE3uC9KDa9,AIS,Early eclosion of overwintering cotton bollworm moths from warming temperatures accentuates yield loss in wheat,Q25.2_12,TRUE,Climate,Climate,,,Q12: Which Ecosystem Services were considered?  - Environmental Driver - Food and feed,Driver,Env,Env,Q12,Food,102,,AK,AIS,2,0,
R_3EEdwsrEF3Odhec,AK,Early eclosion of overwintering cotton bollworm moths from warming temperatures accentuates yield loss in wheat,Q25.4_12,TRUE,Other,Other,Other,,Q12: Which Ecosystem Services were considered?  - Biotic Driver - Food and feed,Driver,Bio,Bio,Q12,Food,134,,AK,AIS,1,1,
R_72hVNdE3uC9KDa9,AIS,Early eclosion of overwintering cotton bollworm moths from warming temperatures accentuates yield loss in wheat,Q25.4_12,TRUE,Other,Other,,,Q12: Which Ecosystem Services were considered?  - Biotic Driver - Food and feed,Driver,Bio,Bio,Q12,Food,134,,AK,AIS,2,0,
R_3EEdwsrEF3Odhec,AK,Early eclosion of overwintering cotton bollworm moths from warming temperatures accentuates yield loss in wheat,Q25.5_12,TRUE,ES,ES,ES,,Q12: Which Ecosystem Services were considered?  - Paper reported Response 1 as: - Food and feed,Yclass,,,Q12,Food,150,,AK,AIS,1,1,
R_72hVNdE3uC9KDa9,AIS,Early eclosion of overwintering cotton bollworm moths from warming temperatures accentuates yield loss in wheat,Q25.5_12,TRUE,ES,ES,,,Q12: Which Ecosystem Services were considered?  - Paper reported Response 1 as: - Food and feed,Yclass,,,Q12,Food,150,,AK,AIS,2,0,
R_3EEdwsrEF3Odhec,AK,Early eclosion of overwintering cotton bollworm moths from warming temperatures accentuates yield loss in wheat,Q25.6_12,TRUE,-,-,-,,Q12: Which Ecosystem Services were considered?  - Direction of Environmental Driver Relationship - Food and feed,EffectDirect,Env,,Q12,Food,166,,AK,AIS,1,1,
R_72hVNdE3uC9KDa9,AIS,Early eclosion of overwintering cotton bollworm moths from warming temperatures accentuates yield loss in wheat,Q25.6_12,TRUE,-,-,,,Q12: Which Ecosystem Services were considered?  - Direction of Environmental Driver Relationship - Food and feed,EffectDirect,Env,,Q12,Food,166,,AK,AIS,2,0,
R_3EEdwsrEF3Odhec,AK,Early eclosion of overwintering cotton bollworm moths from warming temperatures accentuates yield loss in wheat,Q25.8_12,TRUE,-,-,-,,Q12: Which Ecosystem Services were considered?  - Direction of Biotic Driver Relationship - Food and feed,EffectDirect,Bio,,Q12,Food,198,,AK,AIS,1,1,
R_72hVNdE3uC9KDa9,AIS,Early eclosion of overwintering cotton bollworm moths from warming temperatures accentuates yield loss in wheat,Q25.8_12,TRUE,-,-,,,Q12: Which Ecosystem Services were considered?  - Direction of Biotic Driver Relationship - Food and feed,EffectDirect,Bio,,Q12,Food,198,,AK,AIS,2,0,
R_3EEdwsrEF3Odhec,AK,Early eclosion of overwintering cotton bollworm moths from warming temperatures accentuates yield loss in wheat,Q26,FALSE,Eclosion time of pest,Eclosion time of pest,Eclosion time of pest,,List Other Biotic Driver from Q12 (sep. with commas),OtherDriver,Bio,Bio,Q12,Food,205,Infilled ES from Driver where 'Other' specified,AK,AIS,1,1,
R_72hVNdE3uC9KDa9,AIS,Early eclosion of overwintering cotton bollworm moths from warming temperatures accentuates yield loss in wheat,Q26,FALSE,cotton bollworm pest,cotton bollworm pest,,,List Other Biotic Driver from Q12 (sep. with commas),OtherDriver,Bio,Bio,Q12,Food,205,Infilled ES from Driver where 'Other' specified,AK,AIS,2,0,
R_3EEdwsrEF3Odhec,AK,Early eclosion of overwintering cotton bollworm moths from warming temperatures accentuates yield loss in wheat,Q18,FALSE,"Kremen Topic 1 : ESPs,Kremen Topic 3 : Environmental factors that influence provision (env. drivers, not including human drivers))","Kremen Topic 1 : ESPs,Kremen Topic 3 : Environmental factors that influence provision (env. drivers not including human drivers),Kremen Topic 4 : Scale",,,Q13: Which of Kremen's Topics does this paper address?,KremenTopics,,,Q13,,206,Appended KT 4:Scale (has multi time or spatial scale but KT 4 not checked),AK,AIS,1,0,
R_72hVNdE3uC9KDa9,AIS,Early eclosion of overwintering cotton bollworm moths from warming temperatures accentuates yield loss in wheat,Q18,FALSE,"Kremen Topic 3 : Environmental factors that influence provision (env. drivers, not including human drivers))","Kremen Topic 3 : Environmental factors that influence provision (env. drivers not including human drivers),Kremen Topic 4 : Scale","Kremen Topic 3 : Environmental factors that influence provision (env. drivers not including human drivers),Kremen Topic 4 : Scale",,Q13: Which of Kremen's Topics does this paper address?,KremenTopics,,,Q13,,206,Appended KT 4:Scale (has multi time or spatial scale but KT 4 not checked),AK,AIS,2,1,"AK originally checked KT 1 (ESP) but does not include in final answer--cotton bollworm moth creates disservice to crop yield (yield loss), does not provide service"
R_1INs5d4lozmezrt,AK,Evaluating the effectiveness of urban trees to mitigate storm water runoff via transpiration and stemflow,Q7,FALSE,"Yes (e.g., a site sampled multiple points in time, a model with dynamics)","Yes (e.g., a site sampled multiple points in time, a model with dynamics)","Yes (e.g., a site sampled multiple points in time, a model with dynamics)",,Q7: Does the study quantify trends over time?,TimeTrends,,,Q7,,29,,AK,AIS,1,1,
R_2ZOG3Rj49wd8u7V,AIS,Evaluating the effectiveness of urban trees to mitigate storm water runoff via transpiration and stemflow,Q7,FALSE,No,No,,,Q7: Does the study quantify trends over time?,TimeTrends,,,Q7,,29,,AK,AIS,2,0,
R_1INs5d4lozmezrt,AK,Evaluating the effectiveness of urban trees to mitigate storm water runoff via transpiration and stemflow,Q8,FALSE,1 year or less,1 year or less,1 year or less,,Q7b: How many years of data were used for the study?,YrsData,,,Q7,,30,,AK,AIS,1,1,
R_2ZOG3Rj49wd8u7V,AIS,Evaluating the effectiveness of urban trees to mitigate storm water runoff via transpiration and stemflow,Q8,FALSE,,,,,Q7b: How many years of data were used for the study?,YrsData,,,Q7,,30,,AK,AIS,2,0,
R_1INs5d4lozmezrt,AK,Evaluating the effectiveness of urban trees to mitigate storm water runoff via transpiration and stemflow,Q25.1_6_1,FALSE,rates of water uptake,rates of water uptake,,,"Q12: Which Ecosystem Services were considered?  - Write in the response variable used to approx. ES, or EF proxy - Regulation of freshwater quantity, location and timing [e.g. flow of surfac... - Regulation of freshwater quantity, location and timing [e.g. flow of surface and groundwater used for drinking, irrigation] - Response 1: Separate by commas",Response,,,Q12,freshWQReg,69,,AK,AIS,1,0,
R_2ZOG3Rj49wd8u7V,AIS,Evaluating the effectiveness of urban trees to mitigate storm water runoff via transpiration and stemflow,Q25.1_6_1,FALSE,sap flow,sap flow,sap flow,,"Q12: Which Ecosystem Services were considered?  - Write in the response variable used to approx. ES, or EF proxy - Regulation of freshwater quantity, location and timing [e.g. flow of surfac... - Regulation of freshwater quantity, location and timing [e.g. flow of surface and groundwater used for drinking, irrigation] - Response 1: Separate by commas",Response,,,Q12,freshWQReg,69,,AK,AIS,2,1,
R_1INs5d4lozmezrt,AK,Evaluating the effectiveness of urban trees to mitigate storm water runoff via transpiration and stemflow,Q25.1_6_2,FALSE,stemflow and  throughfall,stemflow and  throughfall,stemflow and  throughfall,,"Q12: Which Ecosystem Services were considered?  - Write in the response variable used to approx. ES, or EF proxy - Regulation of freshwater quantity, location and timing [e.g. flow of surfac... - Regulation of freshwater quantity, location and timing [e.g. flow of surface and groundwater used for drinking, irrigation] - DO NOT USE Response 2",Response,,,Q12,freshWQReg,70,,AK,AIS,1,1,
R_2ZOG3Rj49wd8u7V,AIS,Evaluating the effectiveness of urban trees to mitigate storm water runoff via transpiration and stemflow,Q25.1_6_2,FALSE,,,,,"Q12: Which Ecosystem Services were considered?  - Write in the response variable used to approx. ES, or EF proxy - Regulation of freshwater quantity, location and timing [e.g. flow of surfac... - Regulation of freshwater quantity, location and timing [e.g. flow of surface and groundwater used for drinking, irrigation] - DO NOT USE Response 2",Response,,,Q12,freshWQReg,70,,AK,AIS,2,0,
R_1INs5d4lozmezrt,AK,Evaluating the effectiveness of urban trees to mitigate storm water runoff via transpiration and stemflow,Q25.2_6,FALSE,"Other,Climate",Climate,Climate,,"Q12: Which Ecosystem Services were considered?  - Environmental Driver - Regulation of freshwater quantity, location and timing [e.g. flow of surface and groundwater used for drinking, irrigation]",Driver,Env,Env,Q12,freshWQReg,96,,AK,AIS,1,1,
R_1INs5d4lozmezrt,AK,Evaluating the effectiveness of urban trees to mitigate storm water runoff via transpiration and stemflow,Q25.2_6,FALSE,"Other,Climate",Other,Other,,"Q12: Which Ecosystem Services were considered?  - Environmental Driver - Regulation of freshwater quantity, location and timing [e.g. flow of surface and groundwater used for drinking, irrigation]",Driver,Env,Env,Q12,freshWQReg,96,,AK,AIS,1,1,
R_2ZOG3Rj49wd8u7V,AIS,Evaluating the effectiveness of urban trees to mitigate storm water runoff via transpiration and stemflow,Q25.2_6,FALSE,Climate,Climate,,,"Q12: Which Ecosystem Services were considered?  - Environmental Driver - Regulation of freshwater quantity, location and timing [e.g. flow of surface and groundwater used for drinking, irrigation]",Driver,Env,Env,Q12,freshWQReg,96,,AK,AIS,2,0,
R_1INs5d4lozmezrt,AK,Evaluating the effectiveness of urban trees to mitigate storm water runoff via transpiration and stemflow,Q25.5_6,TRUE,Proxy for ES,Proxy for ES,Proxy for ES,,"Q12: Which Ecosystem Services were considered?  - Paper reported Response 1 as: - Regulation of freshwater quantity, location and timing [e.g. flow of surface and groundwater used for drinking, irrigation]",Yclass,,,Q12,freshWQReg,144,,AK,AIS,1,1,
R_2ZOG3Rj49wd8u7V,AIS,Evaluating the effectiveness of urban trees to mitigate storm water runoff via transpiration and stemflow,Q25.5_6,TRUE,Proxy for ES,Proxy for ES,,,"Q12: Which Ecosystem Services were considered?  - Paper reported Response 1 as: - Regulation of freshwater quantity, location and timing [e.g. flow of surface and groundwater used for drinking, irrigation]",Yclass,,,Q12,freshWQReg,144,,AK,AIS,2,0,
R_1INs5d4lozmezrt,AK,Evaluating the effectiveness of urban trees to mitigate storm water runoff via transpiration and stemflow,Q25.6_6,TRUE,+,+,+,,"Q12: Which Ecosystem Services were considered?  - Direction of Environmental Driver Relationship - Regulation of freshwater quantity, location and timing [e.g. flow of surface and groundwater used for drinking, irrigation]",EffectDirect,Env,,Q12,freshWQReg,160,,AK,AIS,1,1,
R_2ZOG3Rj49wd8u7V,AIS,Evaluating the effectiveness of urban trees to mitigate storm water runoff via transpiration and stemflow,Q25.6_6,TRUE,+,+,,,"Q12: Which Ecosystem Services were considered?  - Direction of Environmental Driver Relationship - Regulation of freshwater quantity, location and timing [e.g. flow of surface and groundwater used for drinking, irrigation]",EffectDirect,Env,,Q12,freshWQReg,160,,AK,AIS,2,0,
R_1INs5d4lozmezrt,AK,Evaluating the effectiveness of urban trees to mitigate storm water runoff via transpiration and stemflow,Q17,FALSE,solar radiation,solar radiation,solar radiation,,List Other Environmental Driver from Q12 (sep. with commas),OtherDriver,Env,Env,Q12,freshWQReg,203,Infilled ES from Driver where 'Other' specified,AK,AIS,1,1,
R_2ZOG3Rj49wd8u7V,AIS,Evaluating the effectiveness of urban trees to mitigate storm water runoff via transpiration and stemflow,Q17,FALSE,,,,,List Other Environmental Driver from Q12 (sep. with commas),OtherDriver,Env,,Q12,,203,,AK,AIS,2,0,
R_1INs5d4lozmezrt,AK,Evaluating the effectiveness of urban trees to mitigate storm water runoff via transpiration and stemflow,Q18,FALSE,"Kremen Topic 1 : ESPs,Kremen Topic 3 : Environmental factors that influence provision (env. drivers, not including human drivers))","Kremen Topic 1 : ESPs,Kremen Topic 3 : Environmental factors that influence provision (env. drivers not including human drivers),Kremen Topic 4 : Scale","Kremen Topic 1 : ESPs,Kremen Topic 3 : Environmental factors that influence provision (env. drivers not including human drivers),Kremen Topic 4 : Scale",,Q13: Which of Kremen's Topics does this paper address?,KremenTopics,,,Q13,,206,Appended KT 4:Scale (has multi time or spatial scale but KT 4 not checked),AK,AIS,1,1,has temporal component so should include scale as kremen topic
