clean_answer,varnum,clean_answer_binned,abbr,Group,clean_group,ES,ESdescription,Title,FirstAuthor,SourcePublication,PublicationYear
Management Practices,2,Management/restoration,Driver,Human,Human,Pollination,Pollination and dispersal of seeds or other propagules,Landscape heterogeneity and farming practice alter the species composition and taxonomic breadth of pollinator communities,Andersson,BASIC AND APPLIED ECOLOGY,2013
Management Practices,1,Management/restoration,Driver,Human,Human,coastWQReg,"Regulation of freshwater and coastal water quality [e.g. filtration of particles, pathogens, excess nutrients, and other chemicals]",Managing ecosystems without prior knowledge: pathological outcomes of lake liming,Angeler,ECOLOGY AND SOCIETY,2017
Management Practices,1,Management/restoration,Driver,Human,Human,Food,Food and feed,Managing ecosystems without prior knowledge: pathological outcomes of lake liming,Angeler,ECOLOGY AND SOCIETY,2017
Nutrient enrichment,1,Fertilization,OtherDriver,Human,Human,ClimReg,Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],Decoupled effects (positive to negative) of nutrient enrichment on ecosystem services,Anton,ECOLOGICAL APPLICATIONS,2011
Nutrient enrichment,1,Fertilization,OtherDriver,Human,Human,coastWQReg,"Regulation of freshwater and coastal water quality [e.g. filtration of particles, pathogens, excess nutrients, and other chemicals]",Decoupled effects (positive to negative) of nutrient enrichment on ecosystem services,Anton,ECOLOGICAL APPLICATIONS,2011
Nutrient enrichment,1,Fertilization,OtherDriver,Human,Human,Food,Food and feed,Decoupled effects (positive to negative) of nutrient enrichment on ecosystem services,Anton,ECOLOGICAL APPLICATIONS,2011
Nutrient enrichment,1,Fertilization,OtherDriver,Human,Human,HabCreate,Habitat creation and maintenance,Decoupled effects (positive to negative) of nutrient enrichment on ecosystem services,Anton,ECOLOGICAL APPLICATIONS,2011
Land use change,1,Land use and land cover change,Driver,Human,Human,PestPath,"Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]",Landscape structure regulates pest control provided by ants in sun coffee farms,Aristizabal,JOURNAL OF APPLIED ECOLOGY,2019
Service Provider (Q17),2,Service provider identity,Driver,Biotic,Biotic,PestPath,"Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]",Landscape structure regulates pest control provided by ants in sun coffee farms,Aristizabal,JOURNAL OF APPLIED ECOLOGY,2019
Ant activity (number observed per timed interval),3,Service provider density,OtherDriver,Biotic,Biotic,PestPath,"Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]",Landscape structure regulates pest control provided by ants in sun coffee farms,Aristizabal,JOURNAL OF APPLIED ECOLOGY,2019
Management Practices,1,Management/restoration,Driver,Human,Human,PestPath,"Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]",Practical Challenges in Private Stewardship of Rangeland Ecosystems: Yellow Starthistle Control in Sierra Nevadan Foothills,Aslan,RANGELAND ECOLOGY & MANAGEMENT,2009
Climate,1,Climate,Driver,Environmental,Environmental,ClimReg,Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],Effects of Morella faya tree invasion on aboveground carbon storage in Hawaii,Asner,BIOLOGICAL INVASIONS,2010
Service Provider (Q17),2,Service provider identity,Driver,Biotic,Biotic,ClimReg,Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],Effects of Morella faya tree invasion on aboveground carbon storage in Hawaii,Asner,BIOLOGICAL INVASIONS,2010
Service Provider (Q17),1,Service provider identity,Driver,Biotic,Biotic,Pollination,Pollination and dispersal of seeds or other propagules,Constructing more informative plant-pollinator networks: visitation and pollen deposition networks in a heathland plant community,Ballantyne,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,2015
Service Provider (Q17),1,Service provider identity,Driver,Biotic,Biotic,SoilProtect,"Formation, protection, and decontamination of soils and sediments [e.g decomposition, erosion control]",The Relevance of Conditional Dispersal for Bacterial Colony Growth and Biodegradation,Banitz,MICROBIAL ECOLOGY,2012
Service Provider (Q17),1,Service provider identity,Driver,Biotic,Biotic,PestPath,"Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]",Avian pest control in vineyards is driven by interactions between bird functional diversity and landscape heterogeneity,Barbaro,JOURNAL OF APPLIED ECOLOGY,2017
habtitat heterogeneity,2,Land cover,OtherDriver,Environmental,Environmental,PestPath,"Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]",Avian pest control in vineyards is driven by interactions between bird functional diversity and landscape heterogeneity,Barbaro,JOURNAL OF APPLIED ECOLOGY,2017
bird functional evenness,3,Service provider diversity/richness,OtherDriver,Biotic,Biotic,PestPath,"Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]",Avian pest control in vineyards is driven by interactions between bird functional diversity and landscape heterogeneity,Barbaro,JOURNAL OF APPLIED ECOLOGY,2017
Urban development,1,Land use and land cover change,OtherDriver,Human,Human,AQReg,"Regulation of air quality [e.g. levels of sulphur oxide, nitrogen oxides (NOx), filtration of pollutants]",Ecosystem service bundles along the urban-rural gradient: Insights for landscape planning and management,Baro,ECOSYSTEM SERVICES,2017
Urban development,1,Land use and land cover change,OtherDriver,Human,Human,ClimReg,Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],Ecosystem service bundles along the urban-rural gradient: Insights for landscape planning and management,Baro,ECOSYSTEM SERVICES,2017
Urban development,1,Land use and land cover change,OtherDriver,Human,Human,CulturePsych,"Cultural Services, including Physical and psychological experiences ##do we include this?? [e.g. hunting, fishing, hiking]",Ecosystem service bundles along the urban-rural gradient: Insights for landscape planning and management,Baro,ECOSYSTEM SERVICES,2017
Urban development,1,Land use and land cover change,OtherDriver,Human,Human,Food,Food and feed,Ecosystem service bundles along the urban-rural gradient: Insights for landscape planning and management,Baro,ECOSYSTEM SERVICES,2017
Urban development,1,Land use and land cover change,OtherDriver,Human,Human,SoilProtect,"Formation, protection, and decontamination of soils and sediments [e.g decomposition, erosion control]",Ecosystem service bundles along the urban-rural gradient: Insights for landscape planning and management,Baro,ECOSYSTEM SERVICES,2017
Land use change,1,Land use and land cover change,Driver,Human,Human,ClimReg,Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],Divergent flows of avian-mediated ecosystem services across forest-matrix interfaces in human-modified landscapes,Barros,LANDSCAPE ECOLOGY,2019
Land use change,1,Land use and land cover change,Driver,Human,Human,Pollination,Pollination and dispersal of seeds or other propagules,Divergent flows of avian-mediated ecosystem services across forest-matrix interfaces in human-modified landscapes,Barros,LANDSCAPE ECOLOGY,2019
Service Provider (Q17),1,Service provider identity,Driver,Biotic,Biotic,ClimReg,Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],The active microbial diversity drives ecosystem multifunctionality and is physiologically related to carbon availability in Mediterranean semi-arid soils,Bastida,MOLECULAR ECOLOGY,2016
Availability of dissolved organic carbon,2,Soil characteristics,OtherDriver,Environmental,Environmental,ClimReg,Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],The active microbial diversity drives ecosystem multifunctionality and is physiologically related to carbon availability in Mediterranean semi-arid soils,Bastida,MOLECULAR ECOLOGY,2016
Management Practices,1,Management/restoration,Driver,Human,Human,ClimReg,Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],Effects of between-site variation in soil microbial communities and plant-soil feedbacks on the productivity and composition of plant communities,Bauer,JOURNAL OF APPLIED ECOLOGY,2017
plant-soil feedbacks,2,Plant soil feedbacks,OtherDriver,Biotic,Biotic,ClimReg,Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],Effects of between-site variation in soil microbial communities and plant-soil feedbacks on the productivity and composition of plant communities,Bauer,JOURNAL OF APPLIED ECOLOGY,2017
Management Practices,1,Management/restoration,Driver,Human,Human,HabCreate,Habitat creation and maintenance,Effects of between-site variation in soil microbial communities and plant-soil feedbacks on the productivity and composition of plant communities,Bauer,JOURNAL OF APPLIED ECOLOGY,2017
plant-soil feedbacks,2,Plant soil feedbacks,OtherDriver,Biotic,Biotic,HabCreate,Habitat creation and maintenance,Effects of between-site variation in soil microbial communities and plant-soil feedbacks on the productivity and composition of plant communities,Bauer,JOURNAL OF APPLIED ECOLOGY,2017
Management Practices,1,Management/restoration,Driver,Human,Human,SoilProtect,"Formation, protection, and decontamination of soils and sediments [e.g decomposition, erosion control]",Effects of between-site variation in soil microbial communities and plant-soil feedbacks on the productivity and composition of plant communities,Bauer,JOURNAL OF APPLIED ECOLOGY,2017
plant-soil feedbacks,2,Plant soil feedbacks,OtherDriver,Biotic,Biotic,SoilProtect,"Formation, protection, and decontamination of soils and sediments [e.g decomposition, erosion control]",Effects of between-site variation in soil microbial communities and plant-soil feedbacks on the productivity and composition of plant communities,Bauer,JOURNAL OF APPLIED ECOLOGY,2017
Climate,1,Climate,Driver,Environmental,Environmental,PestPath,"Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]",Converting arable land into flowering fields changes functional and phylogenetic community structure in ground beetles,Baulechner,BIOLOGICAL CONSERVATION,2019
Land use change,2,Land use and land cover change,Driver,Human,Human,PestPath,"Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]",Converting arable land into flowering fields changes functional and phylogenetic community structure in ground beetles,Baulechner,BIOLOGICAL CONSERVATION,2019
Management Practices,3,Management/restoration,Driver,Human,Human,PestPath,"Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]",Converting arable land into flowering fields changes functional and phylogenetic community structure in ground beetles,Baulechner,BIOLOGICAL CONSERVATION,2019
Climate,1,Climate,Driver,Environmental,Environmental,Pollination,Pollination and dispersal of seeds or other propagules,Converting arable land into flowering fields changes functional and phylogenetic community structure in ground beetles,Baulechner,BIOLOGICAL CONSERVATION,2019
Land use change,2,Land use and land cover change,Driver,Human,Human,Pollination,Pollination and dispersal of seeds or other propagules,Converting arable land into flowering fields changes functional and phylogenetic community structure in ground beetles,Baulechner,BIOLOGICAL CONSERVATION,2019
Management Practices,3,Management/restoration,Driver,Human,Human,Pollination,Pollination and dispersal of seeds or other propagules,Converting arable land into flowering fields changes functional and phylogenetic community structure in ground beetles,Baulechner,BIOLOGICAL CONSERVATION,2019
Management Practices,1,Management/restoration,Driver,Human,Human,ClimReg,Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],Measuring ecosystem capacity to provide regulating services: forest removal and recovery at Hubbard Brook (USA),Beier,ECOLOGICAL APPLICATIONS,2015
Management Practices,1,Management/restoration,Driver,Human,Human,freshWQReg,"Regulation of freshwater quantity, location and timing [e.g. flow of surface and groundwater used for drinking, irrigation]",Measuring ecosystem capacity to provide regulating services: forest removal and recovery at Hubbard Brook (USA),Beier,ECOLOGICAL APPLICATIONS,2015
Service Provider (Q17),1,Service provider identity,Driver,Biotic,Biotic,PestPath,"Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]",Spatial variability in ecosystem services: simple rules for predator-mediated pest suppression,Bianchi,ECOLOGICAL APPLICATIONS,2010
Spatial arrangement of landscape,2,Land cover,OtherDriver,Environmental,Environmental,PestPath,"Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]",Spatial variability in ecosystem services: simple rules for predator-mediated pest suppression,Bianchi,ECOLOGICAL APPLICATIONS,2010
Predator dispersal distance,3,Pathogens/natural enemies,OtherDriver,Biotic,Biotic,PestPath,"Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]",Spatial variability in ecosystem services: simple rules for predator-mediated pest suppression,Bianchi,ECOLOGICAL APPLICATIONS,2010
Land use change,1,Land use and land cover change,Driver,Human,Human,HabCreate,Habitat creation and maintenance,Effects of coastal development on nearshore estuarine nekton communities,Bilkovic,MARINE ECOLOGY PROGRESS SERIES,2008
Management Practices,2,Management/restoration,Driver,Human,Human,HabCreate,Habitat creation and maintenance,Effects of coastal development on nearshore estuarine nekton communities,Bilkovic,MARINE ECOLOGY PROGRESS SERIES,2008
Land use change,1,Land use and land cover change,Driver,Human,Human,MaintainOpts,"Maintenance of options [e.g. benefits (including those of future generations) associated with the continued existence of a wide variety of species, populations and genotypes]",Effects of coastal development on nearshore estuarine nekton communities,Bilkovic,MARINE ECOLOGY PROGRESS SERIES,2008
Management Practices,2,Management/restoration,Driver,Human,Human,MaintainOpts,"Maintenance of options [e.g. benefits (including those of future generations) associated with the continued existence of a wide variety of species, populations and genotypes]",Effects of coastal development on nearshore estuarine nekton communities,Bilkovic,MARINE ECOLOGY PROGRESS SERIES,2008
Service Provider (Q17),1,Service provider identity,Driver,Biotic,Biotic,SoilProtect,"Formation, protection, and decontamination of soils and sediments [e.g decomposition, erosion control]",Regional Conditions and Land-Use Alter the Potential Contribution of Soil Arthropods to Ecosystem Services in Grasslands,Birkhofer,FRONTIERS IN ECOLOGY AND EVOLUTION,2016
Land use intensity,2,Land use and land cover change,OtherDriver,Human,Human,SoilProtect,"Formation, protection, and decontamination of soils and sediments [e.g decomposition, erosion control]",Regional Conditions and Land-Use Alter the Potential Contribution of Soil Arthropods to Ecosystem Services in Grasslands,Birkhofer,FRONTIERS IN ECOLOGY AND EVOLUTION,2016
Management Practices,1,Management/restoration,Driver,Human,Human,Food,Food and feed,Habitat assessment of a restored oyster reef in South Texas,Blomberg,ECOLOGICAL ENGINEERING,2018
Management Practices,1,Management/restoration,Driver,Human,Human,HabCreate,Habitat creation and maintenance,Habitat assessment of a restored oyster reef in South Texas,Blomberg,ECOLOGICAL ENGINEERING,2018
Land use change,1,Land use and land cover change,Driver,Human,Human,Food,Food and feed,"An agent-based approach to modeling impacts of agricultural policy on land use, biodiversity and ecosystem services",Brady,LANDSCAPE ECOLOGY,2012
Land use change,1,Land use and land cover change,Driver,Human,Human,HabCreate,Habitat creation and maintenance,Restoration increases bee abundance and richness but not pollination in remnant and post-agricultural woodlands,Breland,ECOSPHERE,2018
Management Practices,2,Management/restoration,Driver,Human,Human,HabCreate,Habitat creation and maintenance,Restoration increases bee abundance and richness but not pollination in remnant and post-agricultural woodlands,Breland,ECOSPHERE,2018
Land use change,1,Land use and land cover change,Driver,Human,Human,MaintainOpts,"Maintenance of options [e.g. benefits (including those of future generations) associated with the continued existence of a wide variety of species, populations and genotypes]",Restoration increases bee abundance and richness but not pollination in remnant and post-agricultural woodlands,Breland,ECOSPHERE,2018
Management Practices,2,Management/restoration,Driver,Human,Human,MaintainOpts,"Maintenance of options [e.g. benefits (including those of future generations) associated with the continued existence of a wide variety of species, populations and genotypes]",Restoration increases bee abundance and richness but not pollination in remnant and post-agricultural woodlands,Breland,ECOSPHERE,2018
Land use change,1,Land use and land cover change,Driver,Human,Human,Pollination,Pollination and dispersal of seeds or other propagules,Restoration increases bee abundance and richness but not pollination in remnant and post-agricultural woodlands,Breland,ECOSPHERE,2018
Management Practices,2,Management/restoration,Driver,Human,Human,Pollination,Pollination and dispersal of seeds or other propagules,Restoration increases bee abundance and richness but not pollination in remnant and post-agricultural woodlands,Breland,ECOSPHERE,2018
Service Provider (Q17),3,Service provider identity,Driver,Biotic,Biotic,Pollination,Pollination and dispersal of seeds or other propagules,Restoration increases bee abundance and richness but not pollination in remnant and post-agricultural woodlands,Breland,ECOSPHERE,2018
Climate,1,Climate,Driver,Environmental,Environmental,Food,Food and feed,Global evidence of positive impacts of freshwater biodiversity on fishery yields,Brooks,GLOBAL ECOLOGY AND BIOGEOGRAPHY,2016
Population growth,2,Population growth and density,Driver,Human,Human,Food,Food and feed,Global evidence of positive impacts of freshwater biodiversity on fishery yields,Brooks,GLOBAL ECOLOGY AND BIOGEOGRAPHY,2016
surface area of inland waters,3,Land cover,OtherDriver,Environmental,Environmental,Food,Food and feed,Global evidence of positive impacts of freshwater biodiversity on fishery yields,Brooks,GLOBAL ECOLOGY AND BIOGEOGRAPHY,2016
elevation,4,Topography and position,OtherDriver,Environmental,Environmental,Food,Food and feed,Global evidence of positive impacts of freshwater biodiversity on fishery yields,Brooks,GLOBAL ECOLOGY AND BIOGEOGRAPHY,2016
human population size,5,Population growth and density,OtherDriver,Human,Human,Food,Food and feed,Global evidence of positive impacts of freshwater biodiversity on fishery yields,Brooks,GLOBAL ECOLOGY AND BIOGEOGRAPHY,2016
species richness,6,Service provider diversity/richness,OtherDriver,Biotic,Biotic,Food,Food and feed,Global evidence of positive impacts of freshwater biodiversity on fishery yields,Brooks,GLOBAL ECOLOGY AND BIOGEOGRAPHY,2016
Climate,1,Climate,Driver,Environmental,Environmental,ClimReg,Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],Sustainable viticulture: The carbon-sink function of the vineyard agro-ecosystem,Brunori,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2016
Land use change,2,Land use and land cover change,Driver,Human,Human,ClimReg,Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],Sustainable viticulture: The carbon-sink function of the vineyard agro-ecosystem,Brunori,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2016
Management Practices,3,Management/restoration,Driver,Human,Human,ClimReg,Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],Sustainable viticulture: The carbon-sink function of the vineyard agro-ecosystem,Brunori,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2016
Land use change,1,Land use and land cover change,Driver,Human,Human,coastWQReg,"Regulation of freshwater and coastal water quality [e.g. filtration of particles, pathogens, excess nutrients, and other chemicals]","An analysis of trade-offs between multiple ecosystem services and stakeholders linked to land use and water quality management in the Great Barrier Reef, Australia",Butler,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2013
Management Practices,2,Management/restoration,Driver,Human,Human,coastWQReg,"Regulation of freshwater and coastal water quality [e.g. filtration of particles, pathogens, excess nutrients, and other chemicals]","An analysis of trade-offs between multiple ecosystem services and stakeholders linked to land use and water quality management in the Great Barrier Reef, Australia",Butler,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2013
Land use change,1,Land use and land cover change,Driver,Human,Human,CulturePsych,"Cultural Services, including Physical and psychological experiences ##do we include this?? [e.g. hunting, fishing, hiking]","An analysis of trade-offs between multiple ecosystem services and stakeholders linked to land use and water quality management in the Great Barrier Reef, Australia",Butler,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2013
Management Practices,2,Management/restoration,Driver,Human,Human,CulturePsych,"Cultural Services, including Physical and psychological experiences ##do we include this?? [e.g. hunting, fishing, hiking]","An analysis of trade-offs between multiple ecosystem services and stakeholders linked to land use and water quality management in the Great Barrier Reef, Australia",Butler,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2013
Land use change,1,Land use and land cover change,Driver,Human,Human,Food,Food and feed,"An analysis of trade-offs between multiple ecosystem services and stakeholders linked to land use and water quality management in the Great Barrier Reef, Australia",Butler,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2013
Management Practices,2,Management/restoration,Driver,Human,Human,Food,Food and feed,"An analysis of trade-offs between multiple ecosystem services and stakeholders linked to land use and water quality management in the Great Barrier Reef, Australia",Butler,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2013
Land use change,1,Land use and land cover change,Driver,Human,Human,PestPath,"Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]","An analysis of trade-offs between multiple ecosystem services and stakeholders linked to land use and water quality management in the Great Barrier Reef, Australia",Butler,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2013
Management Practices,2,Management/restoration,Driver,Human,Human,PestPath,"Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]","An analysis of trade-offs between multiple ecosystem services and stakeholders linked to land use and water quality management in the Great Barrier Reef, Australia",Butler,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2013
Land use change,1,Land use and land cover change,Driver,Human,Human,Pollination,Pollination and dispersal of seeds or other propagules,"An analysis of trade-offs between multiple ecosystem services and stakeholders linked to land use and water quality management in the Great Barrier Reef, Australia",Butler,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2013
Management Practices,2,Management/restoration,Driver,Human,Human,Pollination,Pollination and dispersal of seeds or other propagules,"An analysis of trade-offs between multiple ecosystem services and stakeholders linked to land use and water quality management in the Great Barrier Reef, Australia",Butler,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2013
Land use change,1,Land use and land cover change,Driver,Human,Human,ClimReg,Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],Ecosystem Properties of Urban Land Covers at the Aboveground-Belowground Interface,Byrne,ECOSYSTEMS,2008
Land use change,1,Land use and land cover change,Driver,Human,Human,CulturePsych,"Cultural Services, including Physical and psychological experiences ##do we include this?? [e.g. hunting, fishing, hiking]",Ecosystem Properties of Urban Land Covers at the Aboveground-Belowground Interface,Byrne,ECOSYSTEMS,2008
Land use change,1,Land use and land cover change,Driver,Human,Human,SoilProtect,"Formation, protection, and decontamination of soils and sediments [e.g decomposition, erosion control]",Ecosystem Properties of Urban Land Covers at the Aboveground-Belowground Interface,Byrne,ECOSYSTEMS,2008
Climate,1,Climate,Driver,Environmental,Environmental,ClimReg,Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],"Community structure dynamics and carbon stock change of rehabilitated mangrove forests in Sulawesi, Indonesia",Cameron,ECOLOGICAL APPLICATIONS,2019
Land use change,2,Land use and land cover change,Driver,Human,Human,ClimReg,Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],"Community structure dynamics and carbon stock change of rehabilitated mangrove forests in Sulawesi, Indonesia",Cameron,ECOLOGICAL APPLICATIONS,2019
Management Practices,3,Management/restoration,Driver,Human,Human,ClimReg,Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],"Community structure dynamics and carbon stock change of rehabilitated mangrove forests in Sulawesi, Indonesia",Cameron,ECOLOGICAL APPLICATIONS,2019
Climate,1,Climate,Driver,Environmental,Environmental,Energy,"Energy [e.g.  biomass-based fuels, such as biofuel crops, animal waste, fuelwood]","Community structure dynamics and carbon stock change of rehabilitated mangrove forests in Sulawesi, Indonesia",Cameron,ECOLOGICAL APPLICATIONS,2019
