ResponseId,Init,Title,id,sameanswer,answer,clean_answer,varnum,clean_answer_finer,final_answer,review_notes,fullquestion,abbr,Group,clean_group,ESnum,qnum,ES,survey_order,qa_note,rev1init,rev2init,revorder,keep,ctw_notes
R_1QKHR4HpJC1dcaR,JL,An ecophysiologically informed model of seed dispersal by orangutans: linking animal movement with gut passage across time and space,Q22,FALSE,Mentioned or discussed but not measured,Mentioned or discussed but not measured,,,,,Q16: Are there explicit discussions of thresholds required for the provisioning of the ES discussed?,Thresholds,,,,Q16,,210,,JL,TK,1,0,JL reviewed
R_ebpR6h320fcgW0F,TK,An ecophysiologically informed model of seed dispersal by orangutans: linking animal movement with gut passage across time and space,Q22,FALSE,No,No,,,,,Q16: Are there explicit discussions of thresholds required for the provisioning of the ES discussed?,Thresholds,,,,Q16,,210,,JL,TK,2,1,JL reviewed
R_1MNgGEniHa3GsEq,JL,Application of a rangeland soil erosion model using National Resources Inventory data in southeastern Arizona,Q7,FALSE,No,No,,,,,Q7: Does the study quantify trends over time?,TimeTrends,,,,Q7,,29,,JL,TK,1,1,JL reviewed
R_3NOqt0x8UAoNFs0,TK,Application of a rangeland soil erosion model using National Resources Inventory data in southeastern Arizona,Q7,FALSE,"Yes (e.g., a site sampled multiple points in time, a model with dynamics)","Yes (e.g., a site sampled multiple points in time, a model with dynamics)",,,,,Q7: Does the study quantify trends over time?,TimeTrends,,,,Q7,,29,,JL,TK,2,0,
R_1MNgGEniHa3GsEq,JL,Application of a rangeland soil erosion model using National Resources Inventory data in southeastern Arizona,Q8,FALSE,,,,,,,Q7b: How many years of data were used for the study?,YrsData,,,,Q7,,30,,JL,TK,1,1,
R_3NOqt0x8UAoNFs0,TK,Application of a rangeland soil erosion model using National Resources Inventory data in southeastern Arizona,Q8,FALSE,2–5 years,2–5 years,,,,,Q7b: How many years of data were used for the study?,YrsData,,,,Q7,,30,,JL,TK,2,0,
R_1MNgGEniHa3GsEq,JL,Application of a rangeland soil erosion model using National Resources Inventory data in southeastern Arizona,Q25.1_8_1,FALSE,soil erosion rate,soil erosion rate,1,TEST_VALUE,,,"Q12: Which Ecosystem Services were considered?  - Write in the response variable used to approx. ES, or EF proxy - Formation, protection, and decontamination of soils and sediments [e.g deco... - Formation, protection, and decontamination of soils and sediments [e.g decomposition, erosion control] - Response 1: Separate by commas",Response,,,8,Q12,SoilProtect,73,,JL,TK,1,1,"JL and TK answers very similar, defer to JL"
R_3NOqt0x8UAoNFs0,TK,Application of a rangeland soil erosion model using National Resources Inventory data in southeastern Arizona,Q25.1_8_1,FALSE,"soil erosion, soil stability indicator rate",soil erosion,1,TEST_VALUE,,,"Q12: Which Ecosystem Services were considered?  - Write in the response variable used to approx. ES, or EF proxy - Formation, protection, and decontamination of soils and sediments [e.g deco... - Formation, protection, and decontamination of soils and sediments [e.g decomposition, erosion control] - Response 1: Separate by commas",Response,,,8,Q12,SoilProtect,73,,JL,TK,2,0,
R_3NOqt0x8UAoNFs0,TK,Application of a rangeland soil erosion model using National Resources Inventory data in southeastern Arizona,Q25.1_8_1,FALSE,"soil erosion, soil stability indicator rate",soil stability indicator rate,2,TEST_VALUE,,,"Q12: Which Ecosystem Services were considered?  - Write in the response variable used to approx. ES, or EF proxy - Formation, protection, and decontamination of soils and sediments [e.g deco... - Formation, protection, and decontamination of soils and sediments [e.g decomposition, erosion control] - Response 1: Separate by commas",Response,,,8,Q12,SoilProtect,73,,JL,TK,2,0,
R_1MNgGEniHa3GsEq,JL,Application of a rangeland soil erosion model using National Resources Inventory data in southeastern Arizona,Q25.2_8,FALSE,Other,Other,1,Other,,,"Q12: Which Ecosystem Services were considered?  - Environmental Driver - Formation, protection, and decontamination of soils and sediments [e.g decomposition, erosion control]",Driver,Env,Env,8,Q12,SoilProtect,98,,JL,TK,1,1,"CTW skimmed paper, agree with JL answers"
R_3NOqt0x8UAoNFs0,TK,Application of a rangeland soil erosion model using National Resources Inventory data in southeastern Arizona,Q25.2_8,FALSE,,,,,,,"Q12: Which Ecosystem Services were considered?  - Environmental Driver - Formation, protection, and decontamination of soils and sediments [e.g decomposition, erosion control]",Driver,Env,,8,Q12,SoilProtect,98,,JL,TK,2,0,
R_1MNgGEniHa3GsEq,JL,Application of a rangeland soil erosion model using National Resources Inventory data in southeastern Arizona,Q25.4_8,FALSE,Other,Other,1,Other,,,"Q12: Which Ecosystem Services were considered?  - Biotic Driver - Formation, protection, and decontamination of soils and sediments [e.g decomposition, erosion control]",Driver,Bio,Bio,8,Q12,SoilProtect,130,,JL,TK,1,1,"CTW skimmed paper -- TK answered ESP, and JL listed composition and complexity biotic drivers as ""Other"", keep JL answer because more detailed and lean towards Other rather than ESP (but similar answers either way)"
R_3NOqt0x8UAoNFs0,TK,Application of a rangeland soil erosion model using National Resources Inventory data in southeastern Arizona,Q25.4_8,FALSE,Service Provider (Q17),Service Provider (Q17),1,Service provider identity,,,"Q12: Which Ecosystem Services were considered?  - Biotic Driver - Formation, protection, and decontamination of soils and sediments [e.g decomposition, erosion control]",Driver,Bio,Bio,8,Q12,SoilProtect,130,,JL,TK,2,0,
R_1MNgGEniHa3GsEq,JL,Application of a rangeland soil erosion model using National Resources Inventory data in southeastern Arizona,Q25.5_8,TRUE,ES,ES,,,,,"Q12: Which Ecosystem Services were considered?  - Paper reported Response 1 as: - Formation, protection, and decontamination of soils and sediments [e.g decomposition, erosion control]",Yclass,,,8,Q12,SoilProtect,146,,JL,TK,1,1,
R_3NOqt0x8UAoNFs0,TK,Application of a rangeland soil erosion model using National Resources Inventory data in southeastern Arizona,Q25.5_8,TRUE,ES,ES,,,,,"Q12: Which Ecosystem Services were considered?  - Paper reported Response 1 as: - Formation, protection, and decontamination of soils and sediments [e.g decomposition, erosion control]",Yclass,,,8,Q12,SoilProtect,146,,JL,TK,2,0,
R_1MNgGEniHa3GsEq,JL,Application of a rangeland soil erosion model using National Resources Inventory data in southeastern Arizona,Q25.6_8,FALSE,Mixed,Mixed,,,,,"Q12: Which Ecosystem Services were considered?  - Direction of Environmental Driver Relationship - Formation, protection, and decontamination of soils and sediments [e.g decomposition, erosion control]",EffectDirect,Env,,8,Q12,SoilProtect,162,,JL,TK,1,1,
R_3NOqt0x8UAoNFs0,TK,Application of a rangeland soil erosion model using National Resources Inventory data in southeastern Arizona,Q25.6_8,FALSE,,,,,,,"Q12: Which Ecosystem Services were considered?  - Direction of Environmental Driver Relationship - Formation, protection, and decontamination of soils and sediments [e.g decomposition, erosion control]",EffectDirect,Env,,8,Q12,SoilProtect,162,,JL,TK,2,0,
R_1MNgGEniHa3GsEq,JL,Application of a rangeland soil erosion model using National Resources Inventory data in southeastern Arizona,Q25.8_8,FALSE,Mixed,Mixed,,,,,"Q12: Which Ecosystem Services were considered?  - Direction of Biotic Driver Relationship - Formation, protection, and decontamination of soils and sediments [e.g decomposition, erosion control]",EffectDirect,Bio,,8,Q12,SoilProtect,194,,JL,TK,1,1,
R_3NOqt0x8UAoNFs0,TK,Application of a rangeland soil erosion model using National Resources Inventory data in southeastern Arizona,Q25.8_8,FALSE,,,,,,,"Q12: Which Ecosystem Services were considered?  - Direction of Biotic Driver Relationship - Formation, protection, and decontamination of soils and sediments [e.g decomposition, erosion control]",EffectDirect,Bio,,8,Q12,SoilProtect,194,,JL,TK,2,0,
R_1MNgGEniHa3GsEq,JL,Application of a rangeland soil erosion model using National Resources Inventory data in southeastern Arizona,Q17,TRUE,"rock fragment cover, slope steepness, percent clay",percent clay,3,Soil characteristics,,,List Other Environmental Driver from Q12 (sep. with commas),OtherDriver,Env,Env,8,Q12,SoilProtect,203.08,Infilled ES from Driver where 'Other' specified,JL,TK,1,,
R_1MNgGEniHa3GsEq,JL,Application of a rangeland soil erosion model using National Resources Inventory data in southeastern Arizona,Q17,TRUE,"rock fragment cover, slope steepness, percent clay",rock fragment cover,1,Land cover,,,List Other Environmental Driver from Q12 (sep. with commas),OtherDriver,Env,Env,8,Q12,SoilProtect,203.08,Infilled ES from Driver where 'Other' specified,JL,TK,1,,
R_1MNgGEniHa3GsEq,JL,Application of a rangeland soil erosion model using National Resources Inventory data in southeastern Arizona,Q17,TRUE,"rock fragment cover, slope steepness, percent clay",slope steepness,2,Topography and position,,,List Other Environmental Driver from Q12 (sep. with commas),OtherDriver,Env,Env,8,Q12,SoilProtect,203.08,Infilled ES from Driver where 'Other' specified,JL,TK,1,,
R_1MNgGEniHa3GsEq,JL,Application of a rangeland soil erosion model using National Resources Inventory data in southeastern Arizona,Q26,TRUE,"total vegetation ground cover, foliar cover, vegetation basal gap, vegetation canopy gap, litter cover",foliar cover,2,Biotic characteristics of the plot,,,List Other Biotic Driver from Q12 (sep. with commas),OtherDriver,Bio,Bio,8,Q12,SoilProtect,205.08,Infilled ES from Driver where 'Other' specified,JL,TK,1,,
R_1MNgGEniHa3GsEq,JL,Application of a rangeland soil erosion model using National Resources Inventory data in southeastern Arizona,Q26,TRUE,"total vegetation ground cover, foliar cover, vegetation basal gap, vegetation canopy gap, litter cover",litter cover,5,Biotic characteristics of the plot,,,List Other Biotic Driver from Q12 (sep. with commas),OtherDriver,Bio,Bio,8,Q12,SoilProtect,205.08,Infilled ES from Driver where 'Other' specified,JL,TK,1,,
R_1MNgGEniHa3GsEq,JL,Application of a rangeland soil erosion model using National Resources Inventory data in southeastern Arizona,Q26,TRUE,"total vegetation ground cover, foliar cover, vegetation basal gap, vegetation canopy gap, litter cover",total vegetation ground cover,1,Biotic characteristics of the plot,,,List Other Biotic Driver from Q12 (sep. with commas),OtherDriver,Bio,Bio,8,Q12,SoilProtect,205.08,Infilled ES from Driver where 'Other' specified,JL,TK,1,,
R_1MNgGEniHa3GsEq,JL,Application of a rangeland soil erosion model using National Resources Inventory data in southeastern Arizona,Q26,TRUE,"total vegetation ground cover, foliar cover, vegetation basal gap, vegetation canopy gap, litter cover",vegetation basal gap,3,Biotic characteristics of the plot,,,List Other Biotic Driver from Q12 (sep. with commas),OtherDriver,Bio,Bio,8,Q12,SoilProtect,205.08,Infilled ES from Driver where 'Other' specified,JL,TK,1,,
R_1MNgGEniHa3GsEq,JL,Application of a rangeland soil erosion model using National Resources Inventory data in southeastern Arizona,Q26,TRUE,"total vegetation ground cover, foliar cover, vegetation basal gap, vegetation canopy gap, litter cover",vegetation canopy gap,4,Biotic characteristics of the plot,,,List Other Biotic Driver from Q12 (sep. with commas),OtherDriver,Bio,Bio,8,Q12,SoilProtect,205.08,Infilled ES from Driver where 'Other' specified,JL,TK,1,,
R_1MNgGEniHa3GsEq,JL,Application of a rangeland soil erosion model using National Resources Inventory data in southeastern Arizona,Q18,FALSE,"Kremen Topic 3 : Environmental factors that influence provision (env. drivers, not including human drivers))",Kremen Topic 3 : Environmental factors that influence provision (env. drivers not including human drivers),,,"Kremen Topic 2 : Community structure influencing function, Kremen Topic 3 : Environmental factors that influence provision (env. drivers not including human drivers)",,Q13: Which of Kremen's Topics does this paper address?,KremenTopics,,,,Q13,,206,,JL,TK,1,1,"CTW skimmed paper, combine part of TK answer and JL answer to Kremen Topics. Vegetation complexity and cover should count towards community structure"
R_3NOqt0x8UAoNFs0,TK,Application of a rangeland soil erosion model using National Resources Inventory data in southeastern Arizona,Q18,FALSE,"Kremen Topic 1 : ESPs,Kremen Topic 2 : Community structure influencing function","Kremen Topic 1 : ESPs,Kremen Topic 2 : Community structure influencing function,Kremen Topic 4 : Scale",,,,,Q13: Which of Kremen's Topics does this paper address?,KremenTopics,,,,Q13,,206,Appended KT 4:Scale (has multi time or spatial scale but KT 4 not checked),JL,TK,2,0,
R_1MNgGEniHa3GsEq,JL,Application of a rangeland soil erosion model using National Resources Inventory data in southeastern Arizona,Q22,FALSE,Mentioned or discussed but not measured,Mentioned or discussed but not measured,,,,,Q16: Are there explicit discussions of thresholds required for the provisioning of the ES discussed?,Thresholds,,,,Q16,,210,,JL,TK,1,1,"JL reviewed, CTW looked at paper--single mention of abiotic thresholds in the abstract only"
R_3NOqt0x8UAoNFs0,TK,Application of a rangeland soil erosion model using National Resources Inventory data in southeastern Arizona,Q22,FALSE,No,No,,,,,Q16: Are there explicit discussions of thresholds required for the provisioning of the ES discussed?,Thresholds,,,,Q16,,210,,JL,TK,2,0,
R_3j225vqUy2ndtL0,TK,"Assessing and mapping of multiple ecosystem services in Guizhou Province, China",Q14,FALSE,No,No,,,,,"Q10: Does the paper consider connectivity between spatial replicates (sites, plots)?",Connect,,,,Q10,,57,,TK,JL,1,1,JL reviewed
R_1hybCiXFKKWPel0,JL,"Assessing and mapping of multiple ecosystem services in Guizhou Province, China",Q14,FALSE,Yes,Yes,,,,,"Q10: Does the paper consider connectivity between spatial replicates (sites, plots)?",Connect,,,,Q10,,57,,TK,JL,2,0,
R_3j225vqUy2ndtL0,TK,"Assessing and mapping of multiple ecosystem services in Guizhou Province, China",Q13,FALSE,,,,,,,Q11: What is the distance between replicates?,ConnectDist,,,,Q11,,58,,TK,JL,1,1,JL reviewed
R_1hybCiXFKKWPel0,JL,"Assessing and mapping of multiple ecosystem services in Guizhou Province, China",Q13,FALSE,Unclear or not specified,Unclear or not specified,,,,,Q11: What is the distance between replicates?,ConnectDist,,,,Q11,,58,,TK,JL,2,0,
R_3j225vqUy2ndtL0,TK,"Assessing and mapping of multiple ecosystem services in Guizhou Province, China",Q25.1_1_1,TRUE,habitat quality,habitat quality,1,habitat,,,"Q12: Which Ecosystem Services were considered?  - Write in the response variable used to approx. ES, or EF proxy - Habitat creation and maintenance - Response 1: Separate by commas",Response,,,1,Q12,HabCreate,59,,TK,JL,1,1,
R_1hybCiXFKKWPel0,JL,"Assessing and mapping of multiple ecosystem services in Guizhou Province, China",Q25.1_1_1,TRUE,habitat quality,habitat quality,1,habitat,,,"Q12: Which Ecosystem Services were considered?  - Write in the response variable used to approx. ES, or EF proxy - Habitat creation and maintenance - Response 1: Separate by commas",Response,,,1,Q12,HabCreate,59,,TK,JL,2,0,
R_3j225vqUy2ndtL0,TK,"Assessing and mapping of multiple ecosystem services in Guizhou Province, China",Q25.1_4_1,TRUE,carbon storage,carbon storage,1,carbon,,,"Q12: Which Ecosystem Services were considered?  - Write in the response variable used to approx. ES, or EF proxy - Regulation of climate [e.g. biological carbon storage and sequestration; me... - Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands] - Response 1: Separate by commas",Response,,,4,Q12,ClimReg,65,,TK,JL,1,1,
R_1hybCiXFKKWPel0,JL,"Assessing and mapping of multiple ecosystem services in Guizhou Province, China",Q25.1_4_1,TRUE,carbon storage,carbon storage,1,carbon,,,"Q12: Which Ecosystem Services were considered?  - Write in the response variable used to approx. ES, or EF proxy - Regulation of climate [e.g. biological carbon storage and sequestration; me... - Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands] - Response 1: Separate by commas",Response,,,4,Q12,ClimReg,65,,TK,JL,2,0,
R_3j225vqUy2ndtL0,TK,"Assessing and mapping of multiple ecosystem services in Guizhou Province, China",Q25.1_6_1,TRUE,water supply,water supply,1,TEST_VALUE,,,"Q12: Which Ecosystem Services were considered?  - Write in the response variable used to approx. ES, or EF proxy - Regulation of freshwater quantity, location and timing [e.g. flow of surfac... - Regulation of freshwater quantity, location and timing [e.g. flow of surface and groundwater used for drinking, irrigation] - Response 1: Separate by commas",Response,,,6,Q12,freshWQReg,69,,TK,JL,1,1,
R_1hybCiXFKKWPel0,JL,"Assessing and mapping of multiple ecosystem services in Guizhou Province, China",Q25.1_6_1,TRUE,water supply,water supply,1,TEST_VALUE,,,"Q12: Which Ecosystem Services were considered?  - Write in the response variable used to approx. ES, or EF proxy - Regulation of freshwater quantity, location and timing [e.g. flow of surfac... - Regulation of freshwater quantity, location and timing [e.g. flow of surface and groundwater used for drinking, irrigation] - Response 1: Separate by commas",Response,,,6,Q12,freshWQReg,69,,TK,JL,2,0,
R_3j225vqUy2ndtL0,TK,"Assessing and mapping of multiple ecosystem services in Guizhou Province, China",Q25.1_8_1,TRUE,sediment retention,sediment retention,1,TEST_VALUE,,,"Q12: Which Ecosystem Services were considered?  - Write in the response variable used to approx. ES, or EF proxy - Formation, protection, and decontamination of soils and sediments [e.g deco... - Formation, protection, and decontamination of soils and sediments [e.g decomposition, erosion control] - Response 1: Separate by commas",Response,,,8,Q12,SoilProtect,73,,TK,JL,1,1,
R_1hybCiXFKKWPel0,JL,"Assessing and mapping of multiple ecosystem services in Guizhou Province, China",Q25.1_8_1,TRUE,sediment retention,sediment retention,1,TEST_VALUE,,,"Q12: Which Ecosystem Services were considered?  - Write in the response variable used to approx. ES, or EF proxy - Formation, protection, and decontamination of soils and sediments [e.g deco... - Formation, protection, and decontamination of soils and sediments [e.g decomposition, erosion control] - Response 1: Separate by commas",Response,,,8,Q12,SoilProtect,73,,TK,JL,2,0,
R_3j225vqUy2ndtL0,TK,"Assessing and mapping of multiple ecosystem services in Guizhou Province, China",Q25.2_6,FALSE,,,,,,,"Q12: Which Ecosystem Services were considered?  - Environmental Driver - Regulation of freshwater quantity, location and timing [e.g. flow of surface and groundwater used for drinking, irrigation]",Driver,Env,,6,Q12,freshWQReg,96,,TK,JL,1,0,
R_1hybCiXFKKWPel0,JL,"Assessing and mapping of multiple ecosystem services in Guizhou Province, China",Q25.2_6,FALSE,Climate,Climate,1,Climate,,,"Q12: Which Ecosystem Services were considered?  - Environmental Driver - Regulation of freshwater quantity, location and timing [e.g. flow of surface and groundwater used for drinking, irrigation]",Driver,Env,Env,6,Q12,freshWQReg,96,,TK,JL,2,1,"CTW briefly reviewed paper, confirm environmental variables present, keep JL answer"
R_3j225vqUy2ndtL0,TK,"Assessing and mapping of multiple ecosystem services in Guizhou Province, China",Q25.2_8,FALSE,,,,,,,"Q12: Which Ecosystem Services were considered?  - Environmental Driver - Formation, protection, and decontamination of soils and sediments [e.g decomposition, erosion control]",Driver,Env,,8,Q12,SoilProtect,98,,TK,JL,1,0,
R_1hybCiXFKKWPel0,JL,"Assessing and mapping of multiple ecosystem services in Guizhou Province, China",Q25.2_8,FALSE,Other,Other,1,Other,,,"Q12: Which Ecosystem Services were considered?  - Environmental Driver - Formation, protection, and decontamination of soils and sediments [e.g decomposition, erosion control]",Driver,Env,Env,8,Q12,SoilProtect,98,,TK,JL,2,1,
R_3j225vqUy2ndtL0,TK,"Assessing and mapping of multiple ecosystem services in Guizhou Province, China",Q25.3_1,FALSE,,,,,,,Q12: Which Ecosystem Services were considered?  - Human Driver - Habitat creation and maintenance,Driver,Anthro,,1,Q12,HabCreate,107,,TK,JL,1,0,
R_1hybCiXFKKWPel0,JL,"Assessing and mapping of multiple ecosystem services in Guizhou Province, China",Q25.3_1,FALSE,"Land use change,Population growth",Land use change,1,Land use and land cover change,,,Q12: Which Ecosystem Services were considered?  - Human Driver - Habitat creation and maintenance,Driver,Anthro,Anthro,1,Q12,HabCreate,107,,TK,JL,2,1,
R_1hybCiXFKKWPel0,JL,"Assessing and mapping of multiple ecosystem services in Guizhou Province, China",Q25.3_1,FALSE,"Land use change,Population growth",Population growth,2,Population growth and density,,,Q12: Which Ecosystem Services were considered?  - Human Driver - Habitat creation and maintenance,Driver,Anthro,Anthro,1,Q12,HabCreate,107,,TK,JL,2,1,
R_3j225vqUy2ndtL0,TK,"Assessing and mapping of multiple ecosystem services in Guizhou Province, China",Q25.3_4,FALSE,,,,,,,Q12: Which Ecosystem Services were considered?  - Human Driver - Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],Driver,Anthro,,4,Q12,ClimReg,110,,TK,JL,1,0,
R_1hybCiXFKKWPel0,JL,"Assessing and mapping of multiple ecosystem services in Guizhou Province, China",Q25.3_4,FALSE,"Land use change,Population growth",Land use change,1,Land use and land cover change,,,Q12: Which Ecosystem Services were considered?  - Human Driver - Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],Driver,Anthro,Anthro,4,Q12,ClimReg,110,,TK,JL,2,1,
R_1hybCiXFKKWPel0,JL,"Assessing and mapping of multiple ecosystem services in Guizhou Province, China",Q25.3_4,FALSE,"Land use change,Population growth",Population growth,2,Population growth and density,,,Q12: Which Ecosystem Services were considered?  - Human Driver - Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],Driver,Anthro,Anthro,4,Q12,ClimReg,110,,TK,JL,2,1,
R_3j225vqUy2ndtL0,TK,"Assessing and mapping of multiple ecosystem services in Guizhou Province, China",Q25.3_6,FALSE,,,,,,,"Q12: Which Ecosystem Services were considered?  - Human Driver - Regulation of freshwater quantity, location and timing [e.g. flow of surface and groundwater used for drinking, irrigation]",Driver,Anthro,,6,Q12,freshWQReg,112,,TK,JL,1,0,
R_1hybCiXFKKWPel0,JL,"Assessing and mapping of multiple ecosystem services in Guizhou Province, China",Q25.3_6,FALSE,Population growth,Population growth,1,Population growth and density,"Land use change, population growth",,"Q12: Which Ecosystem Services were considered?  - Human Driver - Regulation of freshwater quantity, location and timing [e.g. flow of surface and groundwater used for drinking, irrigation]",Driver,Anthro,Anthro,6,Q12,freshWQReg,112,,TK,JL,2,1,"CTW briefly reviewed paper, JL's land use change and population growth are drivers for all services (study uses INVEST model)"
R_3j225vqUy2ndtL0,TK,"Assessing and mapping of multiple ecosystem services in Guizhou Province, China",Q25.3_8,FALSE,,,,,,,"Q12: Which Ecosystem Services were considered?  - Human Driver - Formation, protection, and decontamination of soils and sediments [e.g decomposition, erosion control]",Driver,Anthro,,8,Q12,SoilProtect,114,,TK,JL,1,0,
R_1hybCiXFKKWPel0,JL,"Assessing and mapping of multiple ecosystem services in Guizhou Province, China",Q25.3_8,FALSE,"Land use change,Population growth",Land use change,1,Land use and land cover change,,,"Q12: Which Ecosystem Services were considered?  - Human Driver - Formation, protection, and decontamination of soils and sediments [e.g decomposition, erosion control]",Driver,Anthro,Anthro,8,Q12,SoilProtect,114,,TK,JL,2,1,
R_1hybCiXFKKWPel0,JL,"Assessing and mapping of multiple ecosystem services in Guizhou Province, China",Q25.3_8,FALSE,"Land use change,Population growth",Population growth,2,Population growth and density,,,"Q12: Which Ecosystem Services were considered?  - Human Driver - Formation, protection, and decontamination of soils and sediments [e.g decomposition, erosion control]",Driver,Anthro,Anthro,8,Q12,SoilProtect,114,,TK,JL,2,1,
R_3j225vqUy2ndtL0,TK,"Assessing and mapping of multiple ecosystem services in Guizhou Province, China",Q25.4_6,FALSE,,,,,,,"Q12: Which Ecosystem Services were considered?  - Biotic Driver - Regulation of freshwater quantity, location and timing [e.g. flow of surface and groundwater used for drinking, irrigation]",Driver,Bio,,6,Q12,freshWQReg,128,,TK,JL,1,0,
